년도/월,명목gdp,경제성장률,경상수지,무역수지,소비자물가,생산자물가,기준금리,콜금리,코스피지수,코스닥지수,나스닥변동률,외국인보유금,외국인보유금(시가총액대비),엔달러절상율,원달러절상율,환율
201410,1562929,3.2,8605,7534,1.1,-0.8,2,2.06,1964.43,558.7,0.0306,430.1,32.6,-5.1,-1.2,1068.5
201411,1562929,3.2,10583,5262,1,-0.9,2,1.98,1980.78,545.08,0.0347,438,32.2,-10.9,-4.7,1107.9
201412,1562929,3.2,6805,5551,0.8,-2.1,2,1.99,1915.59,542.97,-0.0116,422.3,31.6,-12.5,-4,1099.3
201501,1658020,2.8,7076,5822,1,-3.6,2,1.99,1949.26,591.58,-0.0213,433.5,31.6,2.2,0.5,1093.5
201502,1658020,2.8,6136,7474,0.6,-3.6,2,1.99,1985.8,624.56,0.0708,436.8,31.1,1,0.1,1098.4
201503,1658020,2.8,9762,8337,0.5,-3.7,1.75,1.82,2041.03,650.49,-0.0126,451.3,31.2,0.3,-0.9,1109.5
201504,1658020,2.8,7222,8363,0.4,-3.6,1.75,1.73,2127.17,689.01,0.0083,470.3,31,1.5,2.5,1072.4
201505,1658020,2.8,7959,6287,0.6,-3.5,1.75,1.74,2114.8,711.39,0.026,461.4,30.5,-2.8,-0.8,1108.2
201506,1658020,2.8,11546,9957,0.7,-3.6,1.5,1.57,2074.2,742.27,-0.0164,444.6,29.7,-1.6,-1.5,1115.5
201507,1658020,2.8,9367,7049,0.7,-4,1.5,1.48,2030.16,725.06,0.0284,430.2,29.2,-2.9,-6,1170
201508,1658020,2.8,8119,4335,0.7,-4.5,1.5,1.49,1941.49,687.11,-0.0686,405.2,28.8,-0.6,-7,1182.5
201509,1658020,2.8,10600,8891,0.5,-4.6,1.5,1.48,1962.81,678.48,-0.0327,413.8,29,0.4,-7.3,1185.3
201510,1658020,2.8,9561,6589,0.8,-4.6,1.5,1.48,2029.47,683.63,0.0938,441.3,29.8,-0.6,-3.6,1140.1
201511,1658020,2.8,9728,10235,0.8,-4.7,1.5,1.49,1991.97,688.38,0.0109,430.2,29.3,-1.9,-5.1,1158.1
201512,1658020,2.8,8043,6918,1.1,-4,1.5,1.48,1961.31,682.35,-0.0198,420.4,29.1,0,-6.2,1172.5
201601,1740780,2.9,7317,4938,0.6,-3.3,1.5,1.49,1912.06,682.8,-0.0786,403.6,28.6,-0.1,-2.2,1199.1
201602,1740780,2.9,7928,6762,1.1,-3.4,1.5,1.49,1916.66,651.62,-0.0121,407.3,28.9,6.6,-5.2,1236.7
201603,1740780,2.9,11123,9658,0.8,-3.3,1.5,1.49,1995.85,688.38,0.0684,432.5,29.4,7.2,2.5,1143.5
201604,1740780,2.9,4184,8693,1,-3,1.5,1.49,1994.15,699.77,-0.0194,432.2,29.3,12.2,2.9,1139.3
201605,1740780,2.9,10491,6709,0.8,-3,1.5,1.49,1983.4,698.45,0.0362,433.4,29.5,8.2,-1.6,1191.7
201606,1740780,2.9,12410,11319,0.7,-2.7,1.25,1.29,1970.35,675.09,-0.0213,437.4,30,17.3,1.8,1151.8
201607,1740780,2.9,8832,7510,0.4,-2.5,1.25,1.23,2016.19,706.24,0.066,454.7,30.3,16.2,4.7,1120.2
201608,1740780,2.9,5410,5021,0.5,-1.8,1.25,1.23,2034.65,663.69,0.0099,466.7,31.1,16.7,5.2,1114.8
201609,1740780,2.9,7518,6858,1.3,-1.1,1.25,1.24,2043.63,681.21,0.0189,469.6,31.1,19.4,6.5,1101.3
201610,1740780,2.9,7477,6933,1.5,-0.1,1.25,1.23,2008.19,624.68,-0.0231,468.3,31.7,14.9,2.4,1144.5
201611,1740780,2.9,7873,8068,1.5,0.7,1.25,1.23,1983.48,596.11,0.0259,469.1,32,6.9,0.3,1169.1
201612,1740780,2.9,7362,6765,1.3,1.8,1.25,1.23,2026.46,631.44,0.0112,480.8,31.8,3.2,-2.9,1207.7
201701,1835698,3.2,3402,2612,2.2,3.9,1.25,1.24,2067.57,616.13,0.043,501.1,32.6,2.8,3.9,1162.1
201702,1835698,3.2,7439,6964,2.1,4.3,1.25,1.23,2091.64,612.2,0.0375,502.4,32.4,3.8,6.8,1130.7
201703,1835698,3.2,5140,6059,2.3,4.3,1.25,1.23,2160.23,619.28,0.0148,528.2,33,4.3,8,1118.4
201704,1835698,3.2,3184,12885,2,3.8,1.25,1.23,2205.44,628.24,0.023,545.6,33.3,4.9,6.1,1137.9
201705,1835698,3.2,4262,5639,2,3.4,1.25,1.23,2347.38,652.04,0.025,581,33.5,5.1,7.9,1119.5
201706,1835698,3.2,7009,10721,1.8,2.8,1.25,1.24,2391.79,669.04,-0.0094,597.3,33.7,4.1,5.6,1144.1
201707,1835698,3.2,7467,10223,2.2,3,1.25,1.24,2402.71,650.47,0.0338,605.7,33.4,5.5,7.9,1119
201708,1835698,3.2,6139,6556,2.5,3.3,1.25,1.23,2363.19,657.83,0.0127,595.9,33.9,5.5,7.1,1127.8
201709,1835698,3.2,12338,13419,2,3.8,1.25,1.25,2394.47,652.82,0.0105,613,34.4,3.5,5.4,1145.4
201710,1835698,3.2,6890,6934,1.8,3.6,1.25,1.24,2523.43,694.2,0.0357,650.9,34.6,3.2,7.8,1120.4
